feature,importance
numeric__amount_inr,0.17340253449196494
numeric__hour_of_day,0.11150839580008497
categorical__transaction_type_P2P,0.01939680042223735
categorical__transaction_type_P2M,0.018693824281602923
categorical__sender_bank_SBI,0.017750857424898844
categorical__receiver_bank_SBI,0.017212355148662283
categorical__receiver_age_group_26-35,0.017190980070204982
categorical__network_type_4G,0.017170129490442696
categorical__sender_age_group_26-35,0.016686602066273964
categorical__merchant_category_Grocery,0.015675392555613732
categorical__receiver_age_group_18-25,0.015630738625356074
categorical__sender_age_group_18-25,0.014755913535002071
categorical__receiver_age_group_36-45,0.014673140892862013
categorical__sender_age_group_36-45,0.014491045491160594
categorical__network_type_5G,0.01408971706507961
categorical__device_type_Android,0.013430487876439669
categorical__merchant_category_Food,0.01297173586927177
categorical__receiver_bank_HDFC,0.01262868164871337
categorical__sender_bank_HDFC,0.012417882104778347
categorical__sender_state_Maharashtra,0.012380979572553436
categorical__device_type_iOS,0.01220899595196574
categorical__transaction_type_Bill Payment,0.01210593393496983
categorical__day_of_week_Wednesday,0.011999421509903813
categorical__day_of_week_Thursday,0.011810918932752844
categorical__day_of_week_Monday,0.011726559780499935
categorical__sender_state_Karnataka,0.011445412154052498
categorical__merchant_category_Shopping,0.011086739318724347
categorical__day_of_week_Friday,0.011067976632263927
categorical__day_of_week_Tuesday,0.011049857359135284
categorical__receiver_bank_ICICI,0.011036947985606092
categorical__sender_bank_ICICI,0.010711248842807377
categorical__sender_bank_IndusInd,0.01025389071163704
categorical__sender_state_Uttar Pradesh,0.010168121970271062
categorical__sender_state_Delhi,0.010119635152871242
categorical__sender_bank_PNB,0.010068494129549348
categorical__receiver_bank_Yes Bank,0.0100575976652483
categorical__merchant_category_Other,0.01000019978933871
categorical__merchant_category_Fuel,0.009776983450497788
categorical__sender_bank_Axis,0.009772644226974131
categorical__receiver_age_group_46-55,0.009633799012924287
categorical__sender_bank_Yes Bank,0.009445284131614651
categorical__receiver_bank_PNB,0.009423092231782879
categorical__receiver_bank_Axis,0.009362600736135882
categorical__sender_state_Telangana,0.009357202088364535
categorical__sender_state_Tamil Nadu,0.009312781128318282
categorical__merchant_category_Utilities,0.009237750942953918
categorical__sender_age_group_46-55,0.008972879613902236
categorical__is_weekend_1,0.008895081625111012
categorical__sender_bank_Kotak,0.008877342868358583
categorical__receiver_bank_IndusInd,0.008848454412565116
categorical__network_type_WiFi,0.008831650332535535
categorical__sender_state_West Bengal,0.008802237944636254
categorical__merchant_category_Entertainment,0.008783482205160538
categorical__sender_state_Andhra Pradesh,0.00877578053452959
categorical__day_of_week_Sunday,0.008729506337843222
categorical__is_weekend_0,0.008704102097531119
categorical__day_of_week_Saturday,0.008658328783513912
categorical__receiver_bank_Kotak,0.007885046491396808
categorical__sender_state_Rajasthan,0.007580055227954038
categorical__sender_state_Gujarat,0.007389289913070418
categorical__merchant_category_Transport,0.007237577525566984
categorical__merchant_category_Healthcare,0.006572503140409499
categorical__transaction_type_Recharge,0.005840792829965902
categorical__sender_age_group_56+,0.005779497170753062
categorical__receiver_age_group_56+,0.005756834006268372
categorical__network_type_3G,0.005669147043296905
categorical__device_type_Web,0.005229472972785361
categorical__merchant_category_Education,0.003782652718478041
