feature,importance
categorical__day_of_week_Monday,0.016330278
categorical__receiver_age_group_46-55,0.015992964
categorical__merchant_category_Fuel,0.015969709
categorical__merchant_category_Utilities,0.015789988
categorical__receiver_bank_ICICI,0.015621349
numeric__amount_inr,0.015609284
categorical__day_of_week_Sunday,0.015571556
categorical__sender_bank_Yes Bank,0.015514667
categorical__merchant_category_Healthcare,0.015465112
categorical__sender_bank_IndusInd,0.015433563
categorical__sender_state_Karnataka,0.01539109
categorical__day_of_week_Tuesday,0.015312151
categorical__day_of_week_Wednesday,0.015303366
categorical__device_type_Android,0.015258566
categorical__sender_state_Maharashtra,0.015247626
categorical__merchant_category_Grocery,0.015214671
categorical__receiver_bank_Kotak,0.015169569
categorical__device_type_Web,0.01510739
categorical__receiver_age_group_18-25,0.015096032
categorical__receiver_bank_Yes Bank,0.015078271
categorical__sender_age_group_18-25,0.015043516
categorical__sender_bank_PNB,0.015031501
categorical__sender_bank_Kotak,0.015009915
categorical__transaction_type_Recharge,0.014984859
categorical__network_type_WiFi,0.014959023
categorical__sender_age_group_46-55,0.014934639
categorical__sender_state_Gujarat,0.014897748
categorical__transaction_type_Bill Payment,0.014891724
categorical__network_type_3G,0.01487852
categorical__sender_state_West Bengal,0.014867702
categorical__network_type_5G,0.01483773
numeric__hour_of_day,0.014829685
categorical__receiver_bank_HDFC,0.014788211
categorical__merchant_category_Food,0.014782435
categorical__is_weekend_0,0.0147238625
categorical__network_type_4G,0.014718944
categorical__sender_state_Uttar Pradesh,0.0146703515
categorical__sender_bank_HDFC,0.014639379
categorical__day_of_week_Friday,0.014629281
categorical__receiver_age_group_56+,0.014606763
categorical__merchant_category_Entertainment,0.014556209
categorical__receiver_bank_PNB,0.014525295
categorical__merchant_category_Shopping,0.014501737
categorical__sender_age_group_36-45,0.014463257
categorical__device_type_iOS,0.014446586
categorical__receiver_age_group_36-45,0.014439115
categorical__receiver_bank_IndusInd,0.014437928
categorical__sender_bank_Axis,0.014428221
categorical__sender_state_Delhi,0.014428064
categorical__merchant_category_Other,0.014425154
categorical__sender_state_Tamil Nadu,0.014370444
categorical__sender_state_Rajasthan,0.014280419
categorical__receiver_bank_Axis,0.014275997
categorical__sender_bank_SBI,0.014118384
categorical__transaction_type_P2M,0.014071991
categorical__receiver_bank_SBI,0.01407113
categorical__receiver_age_group_26-35,0.013949576
categorical__merchant_category_Transport,0.013872789
categorical__day_of_week_Saturday,0.013859734
categorical__sender_state_Telangana,0.0138490535
categorical__day_of_week_Thursday,0.013848262
categorical__sender_state_Andhra Pradesh,0.013703813
categorical__sender_age_group_56+,0.013679134
categorical__transaction_type_P2P,0.0136472015
categorical__sender_bank_ICICI,0.013615498
categorical__merchant_category_Education,0.0135936225
categorical__sender_age_group_26-35,0.013483676
categorical__is_weekend_1,0.012854694
